name,institution,team_name
Speaker C,Ocean Reef,1
Speaker D,Ocean Reef,1
Speaker A,Penrhos,1
Speaker B,Penrhos,1
Speaker C,Penrhos,1
Speaker D,Penrhos,1
Speaker A,Perth C.,1
Speaker B,Perth C.,1
Speaker C,Perth C.,1
Speaker D,Perth C.,1
Speaker A,Perth C.,2
Speaker B,Perth C.,2
Speaker C,Perth C.,2
Speaker D,Perth C.,2
Speaker A,Perth C.,3
Speaker B,Perth C.,3
Speaker C,Perth C.,3
Speaker D,Perth C.,3
Speaker A,Perth Mod.,1
Speaker B,Perth Mod.,1
Speaker C,Perth Mod.,1
Speaker D,Perth Mod.,1
Speaker A,Perth Mod.,2
Speaker B,Perth Mod.,2
Speaker C,Perth Mod.,2
Speaker D,Perth Mod.,2
Speaker A,Perth Mod.,3
Speaker B,Perth Mod.,3
Speaker C,Perth Mod.,3
Speaker D,Perth Mod.,3
Speaker A,Perth Mod.,4
Speaker B,Perth Mod.,4
Speaker C,Perth Mod.,4
Speaker D,Perth Mod.,4
Speaker A,Perth Mod.,5
Speaker B,Perth Mod.,5
Speaker C,Perth Mod.,5
Speaker D,Perth Mod.,5
Speaker A,Perth Mod.,6
Speaker B,Perth Mod.,6
Speaker C,Perth Mod.,6
Speaker D,Perth Mod.,6
Speaker A,Perth Mod.,7
Speaker B,Perth Mod.,7
Speaker C,Perth Mod.,7
Speaker D,Perth Mod.,7
Speaker A,PLC,1
Speaker B,PLC,1
Speaker C,PLC,1
Speaker D,PLC,1
Speaker A,PLC,2
Speaker B,PLC,2
Speaker C,PLC,2
Speaker D,PLC,2
Speaker A,PLC,3
Speaker B,PLC,3
Speaker C,PLC,3
Speaker D,PLC,3
Speaker A,PLC,4
Speaker B,PLC,4
Speaker C,PLC,4
Speaker D,PLC,4
Speaker A,Prendiville,1
Speaker B,Prendiville,1
Speaker C,Prendiville,1
Speaker D,Prendiville,1
Speaker A,Sacred Heart,1
Speaker B,Sacred Heart,1
Speaker C,Sacred Heart,1
Speaker D,Sacred Heart,1
Speaker A,Scotch,1
Speaker B,Scotch,1
Speaker C,Scotch,1
Speaker D,Scotch,1
Speaker A,Scotch,2
Speaker B,Scotch,2
Speaker C,Scotch,2
Speaker D,Scotch,2
Speaker A,Scotch,3
Speaker B,Scotch,3
Speaker C,Scotch,3
Speaker D,Scotch,3
Speaker A,Scotch,4
Speaker B,Scotch,4
Speaker C,Scotch,4
Speaker D,Scotch,4
Speaker A,Scotch,5
Speaker B,Scotch,5
Speaker C,Scotch,5
Speaker D,Scotch,5
Speaker A,Scotch,6
Speaker B,Scotch,6
Speaker C,Scotch,6
Speaker D,Scotch,6
Speaker A,Shenton,1
Speaker B,Shenton,1
Speaker C,Shenton,1
Speaker D,Shenton,1
Speaker A,Shenton,2
Speaker B,Shenton,2
Speaker C,Shenton,2
Speaker D,Shenton,2
Speaker A,Shenton,3
Speaker B,Shenton,3
Speaker C,Shenton,3
Speaker D,Shenton,3
Speaker A,St Brigid's,1
Speaker B,St Brigid's,1
Speaker C,St Brigid's,1
Speaker D,St Brigid's,1
Speaker A,St Brigid's,2
Speaker B,St Brigid's,2
Speaker C,St Brigid's,2
Speaker D,St Brigid's,2
Speaker A,St Brigid's,3
Speaker B,St Brigid's,3
Speaker C,St Brigid's,3
Speaker D,St Brigid's,3
Speaker A,St Hilda's,1
Speaker B,St Hilda's,1
Speaker C,St Hilda's,1
Speaker D,St Hilda's,1
Speaker A,St Hilda's,2
Speaker B,St Hilda's,2
Speaker C,St Hilda's,2
Speaker D,St Hilda's,2
Speaker A,St Mark's,1
Speaker B,St Mark's,1
Speaker C,St Mark's,1
Speaker D,St Mark's,1
Speaker A,St Mary's,1
Speaker B,St Mary's,1
Speaker C,St Mary's,1
Speaker D,St Mary's,1
Speaker A,St Mary's,2
Speaker B,St Mary's,2
Speaker C,St Mary's,2
Speaker D,St Mary's,2
Speaker A,St Stephen's,1
Speaker B,St Stephen's,1
Speaker C,St Stephen's,1
Speaker D,St Stephen's,1
Speaker A,Trinity,1
Speaker B,Trinity,1
Speaker C,Trinity,1
Speaker D,Trinity,1
Speaker A,Trinity,2
Speaker B,Trinity,2
Speaker C,Trinity,2
Speaker D,Trinity,2
Speaker A,Trinity,3
Speaker B,Trinity,3
Speaker C,Trinity,3
Speaker D,Trinity,3
Speaker A,Wesley,1
Speaker B,Wesley,1
Speaker C,Wesley,1
Speaker D,Wesley,1
Speaker A,Wesley,2
Speaker B,Wesley,2
Speaker C,Wesley,2
Speaker D,Wesley,2
