43	NUS 1	22	f	t	2008-07-04 17:20:59	2008-07-04 17:20:59
44	NUS 2	22	f	t	2008-07-04 17:20:59	2008-07-04 17:20:59
45	SLU 1	24	f	t	2008-07-04 17:21:00	2008-07-04 17:21:00
46	Singapore Poly 1	25	f	t	2008-07-04 17:21:00	2008-07-04 17:21:00
47	UHK 1	26	f	t	2008-07-04 17:21:00	2008-07-04 17:21:00
48	UI 1	27	f	t	2008-07-04 17:21:00	2008-07-04 17:21:00
49	UKM 1	28	f	t	2008-07-04 17:21:00	2008-07-04 17:21:00
50	UNSW 1	29	f	t	2008-07-04 17:21:00	2008-07-04 17:21:00
51	UNSW 2	29	f	t	2008-07-04 17:21:00	2008-07-04 17:21:00
52	UPD 1	30	f	t	2008-07-04 17:21:01	2008-07-04 17:21:01
53	UQ 1	31	f	t	2008-07-04 17:21:01	2008-07-04 17:21:01
54	UQ 2	31	f	t	2008-07-04 17:21:01	2008-07-04 17:21:01
55	UST 1	32	f	t	2008-07-04 17:21:01	2008-07-04 17:21:01
56	UST 2	32	f	t	2008-07-04 17:21:01	2008-07-04 17:21:01
57	USyd 1	33	f	t	2008-07-04 17:21:02	2008-07-04 17:21:02
58	USyd 2	33	f	t	2008-07-04 17:21:02	2008-07-04 17:21:02
59	USyd 3	33	f	t	2008-07-04 17:21:02	2008-07-04 17:21:02
60	USyd 4	33	f	t	2008-07-04 17:21:02	2008-07-04 17:21:02
61	USyd 5	33	f	t	2008-07-04 17:21:02	2008-07-04 17:21:02
62	USyd 6	33	f	t	2008-07-04 17:21:02	2008-07-04 17:21:02
63	UT Mara 1	34	f	t	2008-07-04 17:21:03	2008-07-04 17:21:03
64	UT Mara 2	34	f	t	2008-07-04 17:21:03	2008-07-04 17:21:03
65	UT Mara 3	34	f	t	2008-07-04 17:21:03	2008-07-04 17:21:03
66	UT Mara 4	34	f	t	2008-07-04 17:21:03	2008-07-04 17:21:03
67	UTS 1	36	f	t	2008-07-04 17:21:03	2008-07-04 17:21:03
68	UTS 2	36	f	t	2008-07-04 17:21:03	2008-07-04 17:21:03
69	UiTM Johor 1	38	f	t	2008-07-04 17:21:04	2008-07-04 17:21:04
70	UiTM Terengganu 1	39	f	t	2008-07-04 17:21:04	2008-07-04 17:21:04
71	Vic 1	40	f	t	2008-07-04 17:21:04	2008-07-04 17:21:04
72	Vic 2	40	f	t	2008-07-04 17:21:04	2008-07-04 17:21:04
73	Vic 3	40	f	t	2008-07-04 17:21:04	2008-07-04 17:21:04
74	WUPID 1	41	f	t	2008-07-04 17:21:04	2008-07-04 17:21:04
